"Dist Code","Year","State Code","State Name","Dist Name","JANUARY PERCIPITATION (Millimeters)","FEBRUARY PERCIPITATION (Millimeters)","MARCH PERCIPITATION (Millimeters)","APRIL PERCIPITATION (Millimeters)","MAY PERCIPITATION (Millimeters)","JUNE PERCIPITATION (Millimeters)","JULY PERCIPITATION (Millimeters)","AUGUST PERCIPITATION (Millimeters)","SEPTEMBER PERCIPITATION (Millimeters)","OCTOBER PERCIPITATION (Millimeters)","NOVEMBER PERCIPITATION (Millimeters)","DECEMBER PERCIPITATION (Millimeters)"
"1","1958","14","Chhattisgarh","Durg","2.38","2.56","21.02","16.93","6.36","109.24","393.08","392.54","354.79","86.11","4.32","0.0"
"1","1959","14","Chhattisgarh","Durg","11.22","6.86","1.52","29.44","18.03","228.39","467.9","312.9","402.07","69.34","0.0","1.06"
"1","1960","14","Chhattisgarh","Durg","15.24","0.0","59.47","21.14","11.24","178.34","492.84","252.01","158.82","69.31","0.0","0.0"
"1","1961","14","Chhattisgarh","Durg","3.41","10.91","20.35","12.03","25.91","186.7","482.5","410.7","507.11","86.3","0.94","7.32"
"1","1962","14","Chhattisgarh","Durg","107.55","75.15","55.73","44.66","37.4","32.23","251.48","251.84","251.84","183.22","138.37","124.88"
"1","1963","14","Chhattisgarh","Durg","0.22","10.86","17.52","37.68","11.42","220.72","345.62","396.69","255.53","81.61","0.0","0.0"
"1","1964","14","Chhattisgarh","Durg","0.0","10.91","9.3","6.29","2.07","159.36","282.89","490.97","231.82","43.23","0.37","0.0"
"1","1965","14","Chhattisgarh","Durg","8.38","3.84","29.32","15.38","6.83","174.3","280.3","166.4","278.58","6.79","0.0","0.15"
"1","1966","14","Chhattisgarh","Durg","72.23","54.19","43.69","36.73","31.75","27.98","251.84","251.84","251.84","181.54","131.43","105.61"
"1","1967","14","Chhattisgarh","Durg","0.62","0.0","138.8","12.83","5.07","206.98","464.88","256.95","134.29","6.68","0.0","61.54"
"1","1968","14","Chhattisgarh","Durg","9.28","22.99","67.55","38.44","3.12","142.2","404.21","181.39","419.42","18.61","0.36","3.37"
"1","1969","14","Chhattisgarh","Durg","0.71","0.19","5.78","3.46","34.85","93.17","593.43","247.36","375.04","8.15","0.68","16.26"
"1","1970","14","Chhattisgarh","Durg","81.51","58.94","46.63","38.74","33.22","190.36","251.84","251.84","251.84","182.38","137.81","106.87"
"1","1971","14","Chhattisgarh","Durg","79.08","57.75","45.91","38.26","32.87","160.26","228.53","251.84","251.84","241.48","188.09","146.12"
